sive	0	8442
neve	0	467
grave	0	428
iove	0	300
breve	0	235
cave	0	230
leve	0	186
nave	0	147
quidve	1	93
suave	0	87
quive	1	78
nive	0	55
quaeve	1	51
quove	1	50
salve	0	50
bove	0	50
cive	0	48
vive	0	43
prave	0	41
pluresve	1	39
minusve	1	38
solve	0	36
intempestive	0	35
abusive	0	35
aliave	1	33
tempestive	0	32
aliudve	1	32
ave	0	30
successive	1	29
serve	0	29
have	0	29
conclave	0	25
proclive	0	24
proterve	0	23
saeve	0	22
ripave	1	22
inve	1	21
quisve	1	20
relative	0	19
aliove	1	19
dolove	1	19
quodve	1	18
parve	0	17
remove	0	17
cuiusve	1	17
filiaeve	1	16
bonorumve	1	16
move	0	15
ove	0	15
pluribusve	1	15
aliisve	1	15
furtive	0	14
nove	0	14
quave	1	13
nineve	0	12
quosve	1	12
neposve	1	12
dispensative	0	12
dominove	1	12
neptisve	1	12
declive	0	11
passive	0	11
aliamve	1	11
filiamve	1	11
filiave	1	11
hypothecaeve	1	11
fideive	1	11
eamve	1	11
fave	0	10
quibusve	1	10
active	0	10
cuive	1	10
curve	0	10
factumve	1	10
eave	1	10
legatumve	1	10
partemve	1	10
quasve	1	9
festive	0	9
dominive	1	9
ripamve	1	9
clave	0	8
quotve	1	8
quamve	1	8
ignave	0	8
neptemve	1	8
aliumve	1	8
materve	1	8
effusumve	1	8
itinereve	1	8
iterve	1	8
utve	1	8
negative	0	7
demonstrative	0	7
deve	1	7
silve	0	7
liberorumve	1	7
dive	0	7
aliorumve	1	7
servove	1	7
liberisve	1	7
jove	0	5
magisve	1	5
prove	1	5
eumve	1	5
heredesve	1	5
quantumve	1	5
eiusve	1	5
qualiterve	1	5
neptesve	1	5
resolve	0	5
quemve	1	5
hostiumve	1	5
locove	1	5
pluriumve	1	5
potestatemve	1	5
servusve	1	5
codicillisve	1	5
bonisve	1	5
senatusve	1	5
plusve	1	5
argentove	1	4
quorumve	1	4
fove	0	4
insuave	0	4
evolve	0	4
casusve	1	4
affirmative	0	4
respective	0	4
earumve	1	4
tribusve	1	4
septemve	1	4
quaterve	1	4
plebemve	1	4
populusve	1	4
secusve	1	3
refove	0	3
factove	1	3
concretive	1	3
translative	0	3
figurative	0	3
consiliumve	1	3
metumve	1	3
nominative	0	3
adipiscendive	1	2
devitandive	1	2
palamve	1	2
internecive	1	2
deusve	1	2
agave	0	2
numenve	1	2
speculative	0	2
substantive	0	2
adiective	0	2
appositive	0	2
dispositive	0	2
duabusve	1	2
ninive	0	2
fugiendisve	1	2
motuve	1	2
minorve	1	2
comparative	0	2
nullave	1	2
dissolve	0	2
calve	0	2
locisve	1	2
quatuorve	1	2
nihilve	1	2
lucemve	1	2
genusve	1	2
meve	1	2
quantave	1	2
corporisve	1	2
capillumve	1	2
damnove	1	2
capiatve	1	2
triduove	1	2
caelove	1	2
love	0	2
pecudumve	1	2
debilitatumve	1	2
plurave	1	2
faciendive	1	2
sacrove	1	2
testamentove	1	2
curatiove	1	2
seve	1	2
qualesve	1	2
risumve	1	2
umbrave	1	2
minuendive	1	2
hominumve	1	2
moresve	1	2
orave	1	2
vendendaeve	1	2
pecuniamve	1	2
solove	1	2
obiective	0	2
purpurave	1	2
casuve	1	2